,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
57,Keyshawn Johnson,TAM,WR,28,16,16,0,0,0,0,0,2,5,2.50,0,122,71,874,12.31,8,2,2,8,,,136,202.9,207.9,167.4,25,22,56,
58,Shaun King,TAM,QB,23,16,16,233,428,2769,18,13,73,353,4.84,5,0,0,0,,0,4,1,5,1,,222,222.1,242.1,235.1,21,8,57,
59,Ike Hilliard,NYG,WR,24,14,14,0,0,0,0,0,3,19,6.33,0,105,55,787,14.31,8,0,,8,,,129,183.6,186.6,156.1,18,23,58,
60,Kerry Collins,NYG,QB,28,16,16,311,529,3610,22,13,41,65,1.59,1,0,0,0,,0,7,2,1,,,219,214.9,232.9,227.9,17,9,59,
61,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
62,Ken Dilger,IND,TE,29,16,16,0,0,0,0,0,0,0,,0,72,47,538,11.45,3,1,1,3,,,74,116.8,120.8,93.3,16,7,60,
63,Bill Schroeder,GNB,WR,29,16,16,0,0,0,0,0,2,11,5.50,0,119,65,999,15.37,4,1,1,4,,,125,188.0,192.0,155.5,14,24,61,
64,Brett Favre,GNB,QB,31,16,16,338,580,3812,20,16,27,108,4.00,0,0,0,0,,0,9,5,0,,2,215,205.3,232.3,221.3,14,10,62,
65,Michael Pittman,ARI,RB,25,16,12,0,0,0,0,0,184,719,3.91,4,91,73,579,7.93,2,5,3,6,,,166,232.8,241.8,196.3,13,22,63,
66,Troy Brown,NWE,WR,29,16,15,0,0,0,0,0,6,46,7.67,0,119,83,944,11.37,4,2,2,5,,,123,208.0,213.0,166.5,12,25,64,
67,Jerry Rice,SFO,WR,38,16,16,0,1,0,0,0,1,-2,-2.00,0,122,75,805,10.73,7,3,2,7,,,122,193.3,198.3,155.8,11,26,65,
68,Dwayne Carswell,DEN,TE,28,16,16,0,0,0,0,0,0,0,,0,64,49,495,10.10,3,0,,3,,,68,116.5,119.5,92.0,9,8,66,
69,Jay Riemersma,BUF,TE,27,12,12,0,0,0,0,0,0,0,,0,60,31,372,12.00,5,1,1,5,,,67,96.2,100.2,80.7,9,9,67,
70,Derrick Mason*+,TEN,WR,26,16,10,0,0,0,0,0,1,1,1.00,0,89,63,895,14.21,5,1,,6,,,120,188.6,191.6,157.1,9,27,68,
71,James Allen,CHI,RB,25,16,15,0,0,0,0,0,290,1120,3.86,2,60,39,291,7.46,1,5,4,3,,,159,190.1,200.1,170.6,7,23,69,
72,Steve Beuerlein,CAR,QB,35,16,16,324,533,3730,19,18,44,106,2.41,1,0,0,0,,0,9,8,1,1,,208,191.8,223.8,209.8,6,11,70,
73,Stephen Alexander*,WAS,TE,25,16,16,0,0,0,0,0,0,0,,0,72,47,510,10.85,2,2,1,2,,,63,108.0,112.0,84.5,5,10,71,
74,Jackie Harris,DAL,TE,32,16,7,0,0,0,0,0,0,0,,0,56,39,306,7.85,5,0,,5,1,,63,101.6,104.6,82.1,4,11,72,
75,Jeff Graham,SDG,WR,31,14,13,0,0,0,0,0,0,0,,0,112,55,907,16.49,4,1,1,4,,,115,167.7,171.7,140.2,4,28,73,
76,Oronde Gadsden,MIA,WR,29,16,16,0,0,0,0,0,0,0,,0,93,56,786,14.04,6,0,,6,,,115,170.6,173.6,142.6,4,29,74,
77,Rickey Dudley,OAK,TE,28,16,16,0,0,0,0,0,1,-7,-7.00,0,49,29,350,12.07,4,1,,4,,,58,87.3,90.3,72.8,,12,75,
78,Charles Evans,BAL,,33,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,2,76,
79,Charles Kirby,TAM,,26,6,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,4,77,
