,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
71,Don McCauley,BAL,RB,28,14,0,0,0,0,0,0,83,234,2.82,6,51,495,9.71,2,2,,8,,,121,169.9,176.9,144.4,3,21,69,
72,Rickey Young,SDG,RB,24,14,14,0,0,0,0,0,157,543,3.46,4,48,423,8.81,0,4,,4,,,121,164.6,172.6,140.6,2,22,70,
73,David Hill,DET,TE,23,14,11,0,1,0,0,0,4,10,2.50,0,32,465,14.53,2,1,,2,,,60,90.5,94.0,74.5,2,11,71,
74,Henry Marshall,KAN,WR,23,14,13,0,0,0,0,0,7,11,1.57,0,23,445,19.35,4,2,,4,,,70,90.6,94.6,79.1,1,28,72,
75,Ronnie Coleman,HOU,RB,26,14,13,1,3,44,1,0,185,660,3.57,5,22,115,5.23,1,7,,6,,,119,134.3,143.8,123.3,1,23,73,
76,Reggie Rucker,CLE,WR,30,14,14,0,0,0,0,0,2,6,3.00,0,36,565,15.69,2,2,,2,,,69,103.1,107.1,85.1,1,29,74,
77,Glenn Doughty,BAL,WR,30,13,13,0,0,0,0,0,2,11,5.50,0,28,435,15.54,4,0,,4,,,69,96.6,99.6,82.6,,30,75,
78,Pat Haden*,RAM,QB,24,12,10,122,216,1551,11,6,29,106,3.66,2,0,0,,0,4,,2,,,117,112.6,126.6,118.6,,12,76,
79,Greg Latta,CHI,TE,25,14,14,0,0,0,0,0,0,0,,0,26,335,12.88,4,0,,4,,,58,83.5,86.5,70.5,,12,77,
80,John Cappelletti,RAM,RB,25,14,14,0,0,0,0,0,178,598,3.36,5,28,228,8.14,1,5,,6,,,119,141.6,150.1,127.6,,24,78,
81,Preston Pearson,DAL,RB,32,14,10,0,0,0,0,0,89,341,3.83,1,46,535,11.63,4,1,,5,,,118,162.6,169.1,139.6,,25,,
82,Ed Podolak,KAN,RB,30,13,6,0,0,0,0,0,133,550,4.14,5,32,313,9.78,0,2,,5,,,116,146.3,153.3,130.3,,26,,
83,Jim Hart *,STL,QB,33,14,14,186,355,2542,13,20,11,18,1.64,0,0,0,,0,5,,0,,,115,110.5,136.0,130.5,,13,,
84,Jim Zorn,SEA,QB,24,10,10,104,251,1687,16,19,25,141,5.64,1,0,0,,0,1,,1,,,114,112.6,138.1,131.6,,14,,
85,Don Calhoun,NWE,RB,25,14,14,0,0,0,0,0,198,727,3.67,4,13,152,11.69,0,3,,4,,,112,121.9,129.4,115.4,,27,,
86,Dan Pastorini,HOU,QB,28,14,12,169,319,1987,13,18,18,39,2.17,2,0,0,,0,7,,2,,,111,104.4,128.9,122.4,,15,,
87,Tony Galbreath,NOR,RB,23,14,14,0,0,0,0,0,168,644,3.83,3,41,265,6.46,0,3,,3,,,109,146.9,154.4,126.4,,28,,
88,Robert Newhouse,DAL,RB,27,14,14,0,0,0,0,0,180,721,4.01,3,16,106,6.63,1,2,,4,,,107,120.7,127.7,112.7,,30,,
89,Barty Smith,GNB,RB,25,14,14,0,0,0,0,0,166,554,3.34,2,37,340,9.19,1,1,,3,,,107,143.4,149.9,124.9,,29,,
90,David Sims,SEA,RB,22,14,1,1,4,43,1,1,99,369,3.73,5,12,176,14.67,3,6,,8,,,106,112.2,122.2,107.2,,31,,
91,Bob Avellini,CHI,QB,24,14,14,154,293,2004,11,18,37,109,2.95,1,0,0,,0,8,,1,,,105,97.1,125.1,115.1,,16,,
92,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
93,Richard Todd,NYJ,QB,24,12,11,133,265,1863,11,17,24,46,1.92,2,0,0,,0,4,,2,,,101,97.1,119.1,114.1,,17,,
94,Don Testerman,SEA,RB,25,14,13,0,0,0,0,0,119,459,3.86,1,31,219,7.06,4,3,,5,,,98,125.8,133.3,110.3,,32,,
95,Benny Malone,MIA,RB,25,14,8,0,0,0,0,0,129,615,4.77,5,4,58,14.50,0,4,,5,,,97,97.3,102.3,95.3,,33,,
96,Jim Braxton,BUF,RB,28,14,14,0,0,0,0,0,113,372,3.29,1,43,461,10.72,1,7,,2,,,95,131.3,140.8,109.8,,34,,
97,Mike Livingston,KAN,QB,32,13,11,143,282,1823,9,15,19,78,4.11,1,0,0,,0,7,,1,,,93,85.7,107.2,100.7,,18,,
98,Bobby Hammond,NYG,RB,25,14,4,0,0,0,0,0,154,577,3.75,3,19,136,7.16,0,3,,4,,,89,111.3,118.8,101.8,,35,,
99,Jim Plunkett,SFO,QB,30,14,14,128,248,1693,9,14,28,71,2.54,1,0,0,,0,2,,1,,,89,86.8,104.8,100.8,,19,,
100,Rocky Bleier,PIT,RB,31,13,13,0,0,0,0,0,135,465,3.44,4,18,161,8.94,0,6,,4,,,87,98.6,107.6,89.6,,38,,
101,Rob Carpenter,HOU,RB,22,11,7,0,0,0,0,0,144,652,4.53,1,23,156,6.78,0,3,,1,,,87,106.8,114.3,95.3,,37,,
102,Pete Johnson,CIN,RB,23,14,9,0,0,0,0,0,153,585,3.82,4,5,49,9.80,0,1,,4,,,87,91.4,94.9,88.9,,36,,
103,Otis Armstrong,DEN,RB,27,10,10,0,0,0,0,0,130,489,3.76,4,18,128,7.11,0,2,,4,,,86,101.7,108.7,92.7,,40,,
104,Gary Davis,MIA,RB,23,14,6,0,0,0,0,0,126,533,4.23,2,14,151,10.79,1,1,,3,,,86,99.4,105.9,92.4,,39,,
105,Rick Kane,DET,RB,23,14,6,0,0,0,0,0,124,421,3.40,4,18,186,10.33,0,10,,4,,,85,92.7,103.7,83.7,,41,,
