Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Johnny McWilliams,ARI,TE,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,26.0,284.0,10.92,4.0,0.0,,4.0,0.0,0.0,52.0,78.4,81.4,65.4,0.0,19.0,,1998
Troy Drayton,MIA,TE,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,30.0,334.0,11.13,3.0,0.0,,3.0,0.0,0.0,51.0,81.4,84.4,66.4,0.0,20.0,,1998
Derrick Mason,TEN,WR,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0,333.0,13.32,3.0,1.0,,3.0,0.0,0.0,51.0,76.3,79.3,63.8,0.0,75.0,,1998
Bill Schroeder,GNB,WR,27.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,452.0,14.58,1.0,1.0,,1.0,0.0,0.0,51.0,82.2,85.2,66.7,0.0,76.0,,1998
Christian Fauria,SEA,TE,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,37.0,377.0,10.19,2.0,1.0,1.0,2.0,0.0,0.0,50.0,84.7,88.7,66.2,0.0,21.0,,1998
Dave Moore,TAM,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,255.0,10.63,4.0,1.0,1.0,4.0,0.0,0.0,50.0,71.5,75.5,59.5,0.0,22.0,,1998
Stephen Davis,WAS,RB,24.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,34.0,109.0,3.21,0.0,31.0,21.0,263.0,12.52,2.0,0.0,,2.0,0.0,0.0,49.0,70.2,76.2,59.7,0.0,55.0,,1998
Marc Edwards,SFO,RB,24.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,22.0,94.0,4.27,1.0,32.0,22.0,218.0,9.91,2.0,0.0,,3.0,0.0,0.0,49.0,71.2,74.2,60.2,0.0,54.0,,1998
William Henderson,GNB,RB,27.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,23.0,70.0,3.04,2.0,49.0,37.0,241.0,6.51,1.0,1.0,1.0,3.0,0.0,0.0,49.0,84.1,88.1,65.6,0.0,56.0,,1998
Greg Hill,STL,RB,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,240.0,6.0,4.0,2.0,1.0,6.0,6.0,0.0,0.0,,4.0,0.0,0.0,49.0,49.6,52.6,49.1,0.0,57.0,,1998
