Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Steve Bartkowski,ATL,QB,31.0,14.0,14.0,274.0,432.0,3167.0,22.0,5.0,16.0,38.0,2.38,1.0,0.0,0.0,0.0,0.0,7.0,,1.0,0.0,0.0,214.0,207.5,219.0,212.5,40.0,6.0,,1983,0.0
Billy Sims,DET,RB,28.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,220.0,1040.0,4.73,7.0,42.0,419.0,9.98,0.0,6.0,,7.0,0.0,0.0,188.0,223.9,232.9,202.9,38.0,15.0,,1983,0.0
Roger Craig,SFO,RB,23.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,176.0,725.0,4.12,8.0,48.0,427.0,8.9,4.0,6.0,,12.0,0.0,0.0,187.0,229.2,238.2,205.2,37.0,16.0,,1983,0.0
John Jefferson,GNB,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,830.0,14.56,7.0,1.0,,7.0,0.0,0.0,125.0,181.0,184.5,152.5,36.0,15.0,,1983,0.0
Stacey Bailey,ATL,WR,23.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,-2.5,0.0,55.0,881.0,16.02,6.0,1.0,,6.0,0.0,0.0,124.0,177.6,181.1,150.1,35.0,16.0,,1983,0.0
Tony Hill,DAL,WR,27.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,49.0,801.0,16.35,7.0,1.0,,7.0,0.0,0.0,122.0,170.3,173.8,145.8,34.0,17.0,,1983,0.0
Brian Sipe,CLE,QB,34.0,15.0,14.0,291.0,496.0,3566.0,26.0,23.0,26.0,56.0,2.15,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,206.0,200.2,229.2,223.2,32.0,7.0,,1983,0.0
Neil Lomax,STL,QB,24.0,13.0,13.0,209.0,354.0,2636.0,24.0,11.0,27.0,127.0,4.7,2.0,0.0,0.0,0.0,0.0,9.0,,2.0,0.0,0.0,204.0,195.1,216.6,206.1,29.0,8.0,,1983,0.0
Doug Cosbie*,DAL,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,588.0,12.78,6.0,0.0,,6.0,0.0,0.0,95.0,140.8,143.8,117.8,29.0,5.0,,1983,0.0
Wes Chandler*,SDG,WR,27.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,12.5,0.0,58.0,845.0,14.57,5.0,3.0,,5.0,0.0,0.0,117.0,172.0,176.5,143.0,28.0,18.0,,1983,0.0
