,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
264,Roger Phegley,SG,24.0,CLE,82.0,0.0,2269.0,474.0,965.0,0.491,8.0,28.0,0.286,466.0,937.0,0.497,0.495,224.0,267.0,0.839,90.0,156.0,246.0,184.0,65.0,15.0,165.0,262.0,1180.0,1981
265,Stan Pietkiewicz,SG,24.0,TOT,42.0,0.0,461.0,57.0,138.0,0.413,19.0,48.0,0.396,38.0,90.0,0.422,0.482,11.0,14.0,0.786,13.0,29.0,42.0,77.0,15.0,2.0,22.0,28.0,144.0,1981
268,Ben Poquette,PF,25.0,UTA,82.0,0.0,2808.0,324.0,614.0,0.528,3.0,6.0,0.5,321.0,608.0,0.528,0.53,126.0,162.0,0.778,160.0,469.0,629.0,161.0,67.0,174.0,122.0,342.0,777.0,1981
269,Kevin Porter,PG,30.0,WSB,81.0,0.0,2577.0,446.0,859.0,0.519,3.0,12.0,0.25,443.0,847.0,0.523,0.521,191.0,247.0,0.773,35.0,89.0,124.0,734.0,110.0,10.0,251.0,257.0,1086.0,1981
270,Tony Price,SG,24.0,SDC,5.0,0.0,29.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,7.0,0.286,0.286,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,4.0,1981
271,Wally Rank,SF,22.0,SDC,25.0,0.0,153.0,21.0,57.0,0.368,0.0,0.0,0.0,21.0,57.0,0.368,0.368,13.0,28.0,0.464,17.0,13.0,30.0,17.0,7.0,1.0,26.0,33.0,55.0,1981
272,Kelvin Ransey,PG,22.0,POR,80.0,0.0,2431.0,525.0,1162.0,0.452,3.0,31.0,0.097,522.0,1131.0,0.462,0.453,164.0,219.0,0.749,42.0,153.0,195.0,555.0,88.0,9.0,232.0,201.0,1217.0,1981
273,Clifford Ray,C,32.0,GSW,66.0,0.0,838.0,64.0,152.0,0.421,0.0,0.0,0.0,64.0,152.0,0.421,0.421,29.0,62.0,0.468,73.0,144.0,217.0,52.0,24.0,13.0,74.0,194.0,157.0,1981
274,James Ray,PF,23.0,DEN,18.0,0.0,148.0,15.0,49.0,0.306,0.0,1.0,0.0,15.0,48.0,0.313,0.306,7.0,10.0,0.7,13.0,24.0,37.0,11.0,4.0,4.0,13.0,31.0,37.0,1981
275,Billy Reid,SG,23.0,GSW,59.0,0.0,597.0,84.0,185.0,0.454,0.0,5.0,0.0,84.0,180.0,0.467,0.454,22.0,39.0,0.564,27.0,33.0,60.0,71.0,33.0,5.0,78.0,111.0,190.0,1981
